Trial,Animal,Group,cFEC,Perc.cFECred,WormB,Perc.WormBred,Tci-APY-1,Tci-MEP-1,Tci-CF-1,Tci-MIF-1,Tci-SAA,Tci-TGH-2,Tci-ASP-1,Tci-ES20
1,6450H,Vaccinated,2036,-3,3900,19,0.637,0.404,0.498,0.009,0.014,0.015,0.012,0.105
1,6451H,Vaccinated,119,94,5950,66,0.178,0.055,0.206,0.013,0.005,0.002,0.007,0.004
1,6455H,Vaccinated,0,100,150,99,0.154,0.208,0.221,0.011,0.031,0.015,0.019,0.349
1,6474H,Vaccinated,1560,21,1000,95,0.048,0.07,0.118,0.002,0.011,0.005,0.006,0.028
1,6496H,Vaccinated,130,93,2400,95,0.047,0.046,0.079,0.005,0.022,0.006,0.011,0.023
1,6507H,Vaccinated,60,97,1450,89,0.288,0.197,0.306,0.004,0.005,0.006,0.005,0.032
1,6508H,Vaccinated,264,87,4900,42,0.32,0.163,0.275,0.005,0.007,0.012,0.008,0.051
2a,640J,Vaccinated,809,86,4850,22,0.03,0.024,0.013,0.014,0.017,0.014,0.01,0.013
2a,670J,Vaccinated,5174,7,6850,-10,0.023,0.054,0.053,0.01,0.026,0.043,0.027,0.006
2a,672J,Vaccinated,811,85,4500,28,0.03,0.049,0.04,0.016,0.024,0.035,0.02,0.007
2a,675J,Vaccinated,17364,-211,11250,-80,0.725,0.311,0.123,0.041,0.042,0.063,0.034,0.059
2a,679J,Vaccinated,3377,40,3250,48,0.382,0.19,0.033,0.017,0.034,0.029,0.022,0.03
2a,681J,Vaccinated,6566,-17,10500,-68,0.186,0.205,0.019,0.012,0.024,0.038,0.036,0.014
2a,683J,Vaccinated,884,84,6700,-7,0.277,0.24,0.121,0.031,0.042,0.114,0.07,0.031
2b,644J,Vaccinated,5940,64,2600,50,0.048,0.055,0.04,0.021,0.018,0.026,0.02,0.038
2b,645J,Vaccinated,4416,74,250,95,0.624,0.297,0.077,0.019,0.053,0.026,0.022,0.039
2b,646J,Vaccinated,8583,49,2950,43,0.836,0.359,0.097,0.246,0.028,0.041,0.033,0.02
2b,663J,Vaccinated,6770,60,1800,66,0.167,0.045,0.02,0.01,0.019,0.014,0.012,0.013
2b,676J,Vaccinated,9075,46,5500,-5,0.074,0.088,0.051,0.009,0.024,0.027,0.018,0.026
2b,680J,Vaccinated,8681,48,1500,71,0.087,0.1,0.189,0.022,0.05,0.066,0.101,0.044
2b,684J,Vaccinated,5575,67,1300,75,0.074,0.027,0.021,0.012,0.023,0.022,0.019,0.018
3,3031,Vaccinated,15684,-33,3000,9,0.923,0.805,0.031,0.021,0.018,0.077,0.092,0.155
3,3165,Vaccinated,11127,6,2500,24,0.017,0.06,0.002,0.002,0.002,0.011,-0.002,0.013
3,3176,Vaccinated,7187,39,1100,67,0.172,0.375,0.03,0.024,0.013,0.031,0.01,0.092
3,3239,Vaccinated,6123,48,3900,-18,0.138,0.185,0.015,0.056,0.021,0.057,0.044,0.152
3,4004,Vaccinated,24886,-111,4400,-33,0.606,0.67,0.012,0.013,0.01,0.02,0.017,0.036
3,4008,Vaccinated,3696,69,300,91,0.249,0.422,0.026,0.031,0.031,0.099,0.091,0.143
3,4059,Vaccinated,4494,62,2500,24,0,0.02,0.003,0.002,0,0.014,0,0.006
3,4124,Vaccinated,7346,38,3900,-18,0.773,0.769,0.057,0.026,0.024,0.091,0.065,0.432
3,4159,Vaccinated,10692,9,4800,-45,0.363,0.198,0.086,0.012,0.014,0.075,0.066,0.45
3,4163,Vaccinated,24742,-110,2400,27,1.058,0.682,0.024,0.028,0.033,0.078,0.101,0.13
3,4170,Vaccinated,10839,8,2700,18,0.354,0.1,0.009,0.009,0.002,0.019,0.019,0.032
3,4176,Vaccinated,14355,-22,2000,39,0.019,0.042,0.019,0.012,0.002,0.019,0,0.015
5,6561,Vaccinated,7667,54,11900,5,1.34,0.744,0.107,0.085,0.078,0.116,0.172,0.223
5,6566,Vaccinated,12651,25,10800,14,1.58,0.912,0.103,0.091,0.08,0.222,0.304,0.254
5,6578,Vaccinated,7548,55,10800,14,0.603,0.287,0.09,0.077,0.071,0.11,0.15,0.184
5,6582,Vaccinated,40457,-141,20200,-61,0.404,0.128,0.067,0.086,0.07,0.124,0.11,0.064
5,6601,Vaccinated,12228,27,13200,-6,1.322,0.826,0.084,0.088,0.085,0.164,0.215,0.168
5,6610,Vaccinated,16712,0,6600,47,0.659,0.393,0.09,0.098,0.082,0.187,0.254,0.176
5,6853,Vaccinated,7967,52,3700,70,0.33,0.158,0.073,0.074,0.067,0.094,0.123,0.101
5,6877,Vaccinated,1390,92,1900,85,0.089,0.183,0.071,0.067,0.064,0.086,0.101,0.076
5,6882,Vaccinated,30715,-83,26900,-115,0.064,0.075,0.091,0.084,0.078,0.124,0.213,0.1
5,6886,Vaccinated,14049,16,12500,0,1.377,0.594,0.096,0.086,0.085,0.109,0.153,0.074
5,6888,Vaccinated,15874,5,17400,-39,0.394,0.206,0.116,0.075,0.08,0.094,0.121,0.124
5,6893,Vaccinated,5154,69,10300,18,0.83,0.618,0.269,0.079,0.077,0.1,0.134,0.088
1,6453H,Control,212,89,2550,59,0.026,0.036,0.006,0.003,0.006,0.001,0.002,0.016
1,6462H,Control,2171,-10,4900,21,0.015,0.015,0.015,0.001,0.007,0.001,0.002,0.005
1,6468H,Control,4760,-141,8600,-38,0.065,0.007,0.005,0.002,0.001,0.001,0,0.002
1,6482H,Control,1441,27,5850,6,0.058,0.021,0.015,0.002,0.01,0.007,0.006,0.012
1,6484H,Control,1171,41,7550,-21,0.013,0.008,0.013,0.001,0.003,0.003,0.002,0.003
1,6492H,Control,1826,8,6100,2,0.016,0.022,0.002,0.003,0.004,0.003,0.003,0.003
1,6494H,Control,2244,-14,8050,-29,0.026,0.024,0.002,0.004,0.004,0.001,0.003,0.006
2a,637J,Control,1937,65,5550,11.2,0.043,0.053,0.029,0.009,0.021,0.009,0.006,0.027
2a,639J,Control,4623,17,8550,-36.8,0.031,0.034,0.043,0.036,0.031,0.014,0.016,0.038
2a,641J,Control,2670,52,2500,60,0.047,0.098,0.034,0.033,0.034,0.032,0.02,0.033
2a,643J,Control,5356,4,8100,-29.6,0.064,0.038,0.037,0.054,0.066,0.029,0.031,0.04
2a,648J,Control,1458,74,4050,35,0.049,0.026,0.02,0.012,0.015,0.01,0.01,0.014
2a,661J,Control,5787,-4,5500,12,0.024,0.027,0.032,0.017,0.017,0.009,0.014,0.033
2a,669J,Control,7062,-26,9500,-52,0.025,0.058,0.026,0.013,0.024,0.011,0.01,0.016
2b,642J,Control,16870,-1,5850,-12,0.07,0.031,0.018,0.015,0.043,0.011,0.01,0.013
2b,657J,Control,11770,30,4600,12,0.086,0.074,0.037,0.022,0.031,0.029,0.02,0.023
2b,658J,Control,7016,58,6250,-20,0.036,0.017,0.009,0.007,0.016,0.005,0.005,0.019
2b,659J,Control,14333,14,3200,39,0.034,0.023,0.022,0.017,0.039,0.013,0.018,0.023
2b,662J,Control,15198,9,1200,77,0.082,0.043,0.035,0.011,0.025,0.017,0.011,0.026
2b,671J,Control,23746,-42,5650,-8,0.032,0.144,0.036,0.024,0.026,0.018,0.017,0.025
2b,678J,Control,28156,-68,9800,-88,0.02,0.039,0.06,0.007,0.024,0.031,0.028,0.025
3,3018,Control,6820,42,9500,-188,0.024,0.132,0.007,0.009,0.021,0.029,0.015,0.044
3,3127,Control,10496,11,2600,21,0.063,0.08,0.009,0.008,0.011,0.018,0.007,0.099
3,3171,Control,12078,-2,4600,-39,0.015,0.086,-0.004,0.003,0.024,0.018,0.007,0.024
3,3504,Control,16986,-44,4900,-48,0.002,0.043,0.001,0.002,0.009,0.007,0.007,0.008
3,4022,Control,12108,-3,1700,48,0.007,0.109,0.005,0.01,0.027,0.045,0.011,0.016
3,4079,Control,8882,25,1200,64,0.061,0.364,0.008,0.007,0.018,0.071,0.047,0.037
3,4111,Control,14163,-20,8800,-167,0.033,0.222,0.005,0.005,0.016,0.03,0.03,0.012
3,4112,Control,593,95,0,100,0.028,0.119,0.014,0.002,0.016,0.03,0.013,0.218
3,4162,Control,8706,26,0,100,0.055,0.413,0.02,0.104,0.068,0.071,0.052,0.429
3,4171,Control,14949,-27,2500,24,-0.001,0.001,0,-0.01,-0.002,-0.002,0.008,0.004
3,4181,Control,13056,-11,1600,52,0.011,0.05,0.01,0.004,0.008,0.016,0.016,0.02
3,4524,Control,22766,-93,2200,33,0.564,0.461,0.133,0.068,0.46,0.146,0.088,0.242
5,6580,Control,10948,35,3700,70,0.271,0.179,0.17,0.092,0.088,0.103,0.546,0.157
5,6581,Control,14408,14,9500,24,0.115,0.106,0.072,0.076,0.073,0.091,0.105,0.105
5,6608,Control,7268,57,8500,32,0.634,0.684,0.107,0.097,0.099,0.125,0.167,0.44
5,6612,Control,17608,-5,10800,14,0.15,0.234,0.109,0.087,0.082,0.114,0.149,0.147
5,6616,Control,4446,73,3400,73,0.424,0.61,0.159,0.117,0.103,0.119,0.175,0.829
5,6617,Control,27979,-67,18400,-47,0.081,0.12,0.065,0.071,0.067,0.075,0.09,0.09
5,6856,Control,7164,57,10800,14,0.533,0.609,0.128,0.089,0.092,0.107,0.159,0.4
5,6860,Control,35937,-114,29600,-137,0.746,0.782,0.124,0.144,0.146,0.192,0.495,0.139
5,6864,Control,6230,63,8500,32,0.258,0.435,0.129,0.089,0.088,0.097,0.149,0.145
5,6887,Control,22712,-35,17400,-39,1.229,0.64,0.203,0.082,0.079,0.095,0.134,0.137
5,6895,Control,13917,17,12500,0,0.581,0.384,0.146,0.116,0.096,0.119,0.192,0.677
5,6897,Control,32566,-94,17000,-36,0.349,0.367,0.099,0.085,0.089,0.118,0.228,0.097